DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2020-10-04 12:00:00,OLIMPIYAT,AUTOMATED_WEATHER_SENSOR,28.04,28.48,28.28017,30.26,32.68,31.53017,2.1,4.465,3.04805,139,203,172.18333,0,0,0,-99,-99,-99,27.19,27.57,27.38167
2020-10-31 02:00:00,SILIVRI_MGM,AUTOMATED_WEATHER_SENSOR,7.4,7.7,7.54068,100,100,100,1.8,3.7,2.81864,271,306,290.32203,0,0,0,-99,-99,-99,5.67,7.34,6.36678
2020-10-16 10:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,23.2,24.4,23.72203,45,53,49.44068,2.1,6,4.12373,246,295,264.33898,0,0,0,-99,-99,-99,24.57,26.28,25.20729
2020-10-27 05:00:00,ARNAVUTKOY_MGM,AUTOMATED_WEATHER_SENSOR,13.5,15.7,14.96333,100,100,100,2.3,3.8,3.205,36,58,47.31667,0,0,0,-99,-99,-99,13.23,15.61,14.92817
2020-10-04 05:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,13.8,17,15.665,75,86,78.35,0,0.6,0.37,3,349,267.31667,0,0,0,-99,-99,-99,13.9,19.19,17.744
2020-10-03 01:00:00,SILE_DARLIK,AUTOMATED_WEATHER_SENSOR,16.1,16.5,16.265,62,69,65.15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2020-10-24 00:00:00,ODAYERI,ICING_SENSOR,11.39,12.1,11.8239,97.4,99.3,98.58814,0,1.199,0.57939,10,328,206.89831,0,0,0,13.8,14.3,14.03051,11.78,14.56,13.03407
2020-10-09 14:00:00,EMINONU,AUTOMATED_WEATHER_SENSOR,17.3,18.4,17.74667,73,80,77.3,0.5,3.8,1.89333,0,359,300.16667,0,0.2,0.02667,-99,-99,-99,17.73,19.75,18.76483
2020-10-17 14:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,22.82,24.31,23.48328,52.94,65.52,60.04241,2.45,7.33,4.46931,175,321,250.5,0,0.33,0.05172,17.3,17.3,17.3,23.83,25.94,24.90103
2020-10-02 15:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,19.5,24.8,22.18793,45,56,51.03448,0.3,1.5,0.82069,78,234,137.08621,0,0,0,-99,-99,-99,21,27.06,24.2219
2020-10-31 23:00:00,CATALCA_MGM,AUTOMATED_WEATHER_SENSOR,12.1,13,12.6375,84,88,85.26786,3.1,6.1,4.21964,303,355,322.26786,-99,-99,-99,-99,-99,-99,11.13,12.31,11.77554
2020-10-26 07:00:00,CATALCA,AUTOMATED_WEATHER_SENSOR,15.3,17.6,16.68947,73,76,74.50877,3.6,5.8,4.82456,252,284,267.40351,0,0,0,-99,-99,-99,14.57,17.66,16.51737
2020-10-15 07:00:00,ESENLER,ICING_SENSOR,22.97,23.52,23.28803,67.01,71.34,69.08951,0.77,3.33,1.73656,115,244,195.52459,-99,-99,-99,26.9,30.2,28.67705,24.69,25.58,25.17934
2020-10-11 03:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,15.37,15.44,15.39869,96,96.3,96.20328,0,0,0,52,52,52,0,0,0,16.9,17.3,17.00328,15.37,15.44,15.3941
2020-10-30 18:00:00,CAVUSBASI,AUTOMATED_WEATHER_SENSOR,12.61,12.85,12.72867,99.6,100,99.93556,0,1.773,0.3338,0,339,158.37778,0,0,0,-99,-99,-99,12.71,17.5,13.962
2020-10-10 10:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,20.5,22.9,21.42333,64,74,68.45,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2020-10-14 22:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,16.7,17,16.8,72,74,72.85714,0,1.6,0.82679,2,359,187.33929,0,0,0,-99,-99,-99,16.8,19.09,18.22089
2020-10-30 04:00:00,HADIMKOY,AUTOMATED_WEATHER_SENSOR,13.67,14.34,14.04229,99.2,99.9,99.4625,0.278,1.493,0.8591,352,356,354.85417,0,0,0,12.8,13.9,13.45833,14.5,16.41,15.45313
2020-10-22 12:00:00,UMRANIYE,ICING_SENSOR,21.3,21.98,21.66685,100,100,100,0,0.53,0.07852,1,309,45.96296,1,60,32.76923,26.9,29.2,27.85,21.16,23.98,21.88111
2020-10-19 19:00:00,ESENLER,ICING_SENSOR,17.38,17.52,17.45933,66.73,67.21,66.9775,0.61,2.69,1.26733,19,354,187.23333,-99,-99,-99,18.9,19.2,19.01333,18.13,19.34,18.7915
2020-10-18 01:00:00,ESENLER,ICING_SENSOR,19.9,19.97,19.9168,88.4,89.6,89.304,0,1.09,0.5474,1,350,242.48,-99,-99,-99,20.2,20.4,20.29,19.9,22.08,21.4914
2020-10-01 23:00:00,CAMLICA_LIBADIYE,ICING_SENSOR,16.88,17.49,17.213,63.61,69.89,66.51183,0,1.41,0.54483,238,256,248.45,0,0,0,17,17.6,17.25,16.94,19.41,18.253
2020-10-09 08:00:00,BEYKOZ_ANADOLU_FENERI,AUTOMATED_WEATHER_SENSOR,0,0,0,3,3,3,0,0,0,308,308,308,0,0,0,-99,-99,-99,-99,-99,-99
2020-10-23 04:00:00,RIVA_TUNEL_G,ICING_SENSOR,13.04,13.29,13.19344,97.3,98.3,97.69016,0.219,1.319,0.5677,133,332,214.70492,0,0,0,14.8,15,14.8541,13.9,15.85,15.05
2020-10-31 10:00:00,HADIMKOY,AUTOMATED_WEATHER_SENSOR,16.81,18.13,17.62481,51.89,59.41,55.12259,0.762,3.895,2.80719,199,288,233.38889,0,0,0,19.9,21.2,20.54259,17.14,19.5,18.24278
2020-10-11 02:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,15.37,15.71,15.5485,94.8,96,95.495,0,0,0,52,52,52,0,0.41,0.22867,17.4,17.8,17.62667,15.37,15.71,15.55117
2020-10-18 02:00:00,ESENLER,ICING_SENSOR,19.76,19.97,19.89075,89.2,89.6,89.36604,0,1.81,0.78736,13,335,109.56604,0,0,0,20,20.3,20.18868,19.83,22.08,21.56755
